store_name,food_group,observations,min_price_eur,max_price_eur,latest_scrape
Billa,Butter,4,3.19,3.19,2026-04-01
Billa,Eier,4,4.99,4.99,2026-04-01
Billa,Fisch,4,3.99,3.99,2026-04-01
Billa,Fleisch,4,7.99,7.99,2026-04-01
Billa,Kaese,4,1.49,1.49,2026-04-01
Billa,Kaffee,4,14.99,14.99,2026-04-01
Billa,Mehl,4,1.29,1.29,2026-04-01
Billa,Milch,4,1.89,1.89,2026-04-01
Billa,Schokolade,4,0.89,0.89,2026-04-01
Hofer,Aepfel,324,0.55,7.99,2026-05-10
Hofer,Bananen,256,0.55,13.99,2026-05-10
Hofer,Brot,20,0.99,0.99,2026-05-11
Hofer,Butter,19,2.99,2.99,2026-05-11
Hofer,Eier,3,3.79,3.79,2026-03-31
Hofer,Fisch,19,4.49,4.49,2026-05-11
Hofer,Fleisch,4,5.49,5.49,2026-04-01
Hofer,Haferflocken,36,0.69,1.59,2026-05-11
Hofer,Joghurt,32,0.79,1.69,2026-04-15
Hofer,Kaese,19,1.39,1.39,2026-05-11
Hofer,Kaffee,19,5.49,5.49,2026-05-11
Hofer,Karotten,72,1.99,2.25,2026-05-10
Hofer,Kartoffeln,232,0.79,3.49,2026-05-10
Hofer,Mehl,19,0.75,0.75,2026-05-11
Hofer,Milch,19,1.79,1.79,2026-05-11
Hofer,Nudeln,48,1.35,3.19,2026-04-15
Hofer,Reis,28,1.29,1.39,2026-05-11
Hofer,Schokolade,19,2.19,2.19,2026-05-11
Hofer,Zwiebeln,132,1.29,4.99,2026-05-10
Lidl,Aepfel,3,1.99,2.49,2026-04-15
Lidl,Bananen,6,1.11,4.99,2026-04-15
Lidl,Eier,4,2.79,2.79,2026-04-01
Lidl,Fisch,2,3.99,3.99,2026-03-27
Lidl,Fleisch,2,3.99,3.99,2026-03-27
Lidl,Joghurt,5,0.66,0.66,2026-04-15
Lidl,Kaese,18,0.99,8.99,2026-04-15
Lidl,Kaffee,7,12.99,16.49,2026-04-15
Lidl,Kartoffeln,6,1.29,3,2026-04-15
Lidl,Nudeln,1,7.99,7.99,2026-04-15
Lidl,Zwiebeln,8,0.99,2.79,2026-04-17
MPreis,Aepfel,768,0.66,6.99,2026-05-10
MPreis,Bananen,816,0.39,9.99,2026-05-10
MPreis,Brot,505,0.99,7.49,2026-05-10
MPreis,Butter,165,1.49,3.19,2026-05-10
MPreis,Eier,648,0.59,7.99,2026-05-10
MPreis,Fisch,51,3.69,5.99,2026-05-10
MPreis,Fleisch,71,3.99,8.99,2026-05-10
MPreis,Haferflocken,241,0.75,3.19,2026-05-10
MPreis,Joghurt,672,0.49,3.99,2026-05-07
MPreis,Kaese,505,0.79,9.59,2026-05-10
MPreis,Kaffee,767,2.49,37.99,2026-05-10
MPreis,Karotten,663,0.79,8.49,2026-05-10
MPreis,Kartoffeln,565,0.69,19.99,2026-05-07
MPreis,Mehl,79,0.75,1.89,2026-05-10
MPreis,Milch,576,0.89,5.99,2026-05-07
MPreis,Nudeln,816,0.99,3.99,2026-05-10
MPreis,Reis,157,1.29,10.99,2026-05-10
MPreis,Schokolade,653,0.89,9.99,2026-05-10
MPreis,Zwiebeln,531,0.96,17.99,2026-05-10
